10001,0101,A+
10246,0101,A+
10002,0101,A
10284,0101,A
10027,0101,A-
10183,0101,A-
10486,0101,A-
10558,0101,A-
10003,0101,B+
10055,0101,B+
10212,0101,B+
10269,0101,B+
10286,0101,B+
10335,0101,B+
10422,0101,B+
10487,0101,B+
10052,0101,B
10108,0101,B
10145,0101,B
10247,0101,B
10319,0101,B
10384,0101,B
10542,0101,B
10610,0101,B
10718,0101,B
10140,0101,B-
10141,0101,B-
10270,0101,B-
10285,0101,B-
10533,0101,B-
10574,0101,B-
10635,0101,B-
10698,0101,B-
10053,0101,C+
10075,0101,C+
10357,0101,C+
10385,0101,C+
10403,0101,C+
10475,0101,C+
10512,0101,C+
10520,0101,C+
10730,0101,C+
10203,0101,C
10280,0101,C
10531,0101,C
10590,0101,C
10656,0101,C
10673,0101,C
10674,0101,C
10726,0101,C
10094,0101,C-
10166,0101,C-
10370,0101,C-
10476,0101,C-
10593,0101,C-
10636,0101,C-
10652,0101,C-
10681,0101,C-
10002,0201,A+
10246,0201,A+
10001,0201,A
10055,0201,A
10027,0201,A-
10284,0201,A-
10335,0201,A-
10486,0201,A-
10697,0201,A-
10003,0201,B+
10034,0201,B+
10183,0201,B+
10272,0201,B+
10384,0201,B+
10422,0201,B+
10487,0201,B+
10558,0201,B+
10651,0201,B+
10036,0201,B
10140,0201,B
10173,0201,B
10394,0201,B
10421,0201,B
10520,0201,B
10590,0201,B
10610,0201,B
10673,0201,B
10038,0201,B-
10200,0201,B-
10512,0201,B-
10530,0201,B-
10532,0201,B-
10559,0201,B-
10574,0201,B-
10718,0201,B-
10755,0201,B-
10007,0201,C+
10052,0201,C+
10053,0201,C+
10070,0201,C+
10075,0201,C+
10125,0201,C+
10269,0201,C+
10327,0201,C+
10475,0201,C+
10542,0201,C+
10108,0201,C
10207,0201,C
10212,0201,C
10357,0201,C
10456,0201,C
10511,0201,C
10611,0201,C
10636,0201,C
11065,0201,C
11482,0201,C
10011,0201,C-
10280,0201,C-
10689,0201,C-
10698,0201,C-
10730,0201,C-
10741,0201,C-
11287,0201,C-
10001,0202,A+
10002,0202,A+
10034,0202,A+
10036,0202,A
10173,0202,A
10272,0202,A
10384,0202,A
10003,0202,A-
10055,0202,A-
10246,0202,A-
10421,0202,A-
10422,0202,A-
10520,0202,A-
10651,0202,A-
10698,0202,A-
10004,0202,B+
10038,0202,B+
10070,0202,B+
10140,0202,B+
10183,0202,B+
10284,0202,B+
10286,0202,B+
10335,0202,B+
10353,0202,B+
10456,0202,B+
10486,0202,B+
10487,0202,B+
10532,0202,B+
10558,0202,B+
10559,0202,B+
11482,0202,B+
10007,0202,B
10011,0202,B
10125,0202,B
10141,0202,B
10247,0202,B
10269,0202,B
10273,0202,B
10280,0202,B
10327,0202,B
10357,0202,B
10423,0202,B
10497,0202,B
10593,0202,B
10611,0202,B
10689,0202,B
10200,0202,B-
10240,0202,B-
10251,0202,B-
10285,0202,B-
10319,0202,B-
